,Region,Metric,Standardised Value
304,GBR_0.5,Degree Centrality,-0.6152181299617866
305,GBR_0.5,Degree Centrality,-0.6642805242111217
306,GBR_0.5,Degree Centrality,-0.6397493270864542
307,GBR_0.5,Degree Centrality,0.09618658665357276
308,GBR_0.5,Degree Centrality,-0.6152181299617866
309,GBR_0.5,Degree Centrality,-0.6888117213357893
310,GBR_0.5,Degree Centrality,-0.3944373558397785
311,GBR_0.5,Degree Centrality,-0.6888117213357893
312,GBR_0.5,Degree Centrality,-0.6888117213357893
313,GBR_0.5,Degree Centrality,-0.46803094721378125
314,GBR_0.5,Degree Centrality,-0.5416245385877839
315,GBR_0.5,Degree Centrality,-0.5661557357124515
316,GBR_0.5,Degree Centrality,-0.5661557357124515
317,GBR_0.5,Degree Centrality,-0.5170933414631164
318,GBR_0.5,Degree Centrality,-0.3944373558397785
319,GBR_0.5,Degree Centrality,-0.19818777884243802
320,GBR_0.5,Degree Centrality,-0.6642805242111217
321,GBR_0.5,Degree Centrality,-0.4189685529644461
322,GBR_0.5,Degree Centrality,-0.5170933414631164
323,GBR_0.5,Degree Centrality,-0.4925621443384488
324,GBR_0.5,Degree Centrality,-0.6152181299617866
325,GBR_0.5,Degree Centrality,-0.0019382018450974797
326,GBR_0.5,Degree Centrality,-0.7133429184604568
327,GBR_0.5,Degree Centrality,-0.5170933414631164
328,GBR_0.5,Degree Centrality,-0.6152181299617866
329,GBR_0.5,Degree Centrality,-0.12459418746843527
330,GBR_0.5,Degree Centrality,0.1452489809029079
331,GBR_0.5,Degree Centrality,-0.6397493270864542
332,GBR_0.5,Degree Centrality,-0.4189685529644461
333,GBR_0.5,Degree Centrality,-0.3453749615904434
334,GBR_0.5,Degree Centrality,-0.5170933414631164
335,GBR_0.5,Degree Centrality,-0.4925621443384488
336,GBR_0.5,Degree Centrality,-0.5661557357124515
337,GBR_0.5,Degree Centrality,-0.5661557357124515
338,GBR_0.5,Degree Centrality,-0.590686932837119
339,GBR_0.5,Degree Centrality,-0.5661557357124515
340,GBR_0.5,Degree Centrality,-0.44349975008911363
341,GBR_0.5,Degree Centrality,-0.4925621443384488
342,GBR_0.5,Degree Centrality,-0.14912538459310284
343,GBR_0.5,Degree Centrality,-0.5416245385877839
344,GBR_0.5,Degree Centrality,-0.5170933414631164
345,GBR_0.5,Degree Centrality,-0.4925621443384488
346,GBR_0.5,Degree Centrality,0.194311375152243
347,GBR_0.5,Degree Centrality,-0.6642805242111217
348,GBR_0.5,Degree Centrality,-0.5416245385877839
349,GBR_0.5,Degree Centrality,0.09618658665357276
350,GBR_0.5,Degree Centrality,-0.5170933414631164
351,GBR_0.5,Degree Centrality,-0.590686932837119
352,GBR_0.5,Degree Centrality,0.12071778377824031
353,GBR_0.5,Degree Centrality,-0.14912538459310284
354,GBR_0.5,Degree Centrality,-0.6152181299617866
355,GBR_0.5,Degree Centrality,-0.4189685529644461
356,GBR_0.5,Degree Centrality,0.09618658665357276
357,GBR_0.5,Degree Centrality,-0.46803094721378125
358,GBR_0.5,Degree Centrality,0.16978017802757545
359,GBR_0.5,Degree Centrality,-0.5416245385877839
360,GBR_0.5,Degree Centrality,-0.19818777884243802
361,GBR_0.5,Degree Centrality,-0.2963125673411083
362,GBR_0.5,Degree Centrality,-0.4189685529644461
363,GBR_0.5,Degree Centrality,0.16978017802757545
364,GBR_0.5,Degree Centrality,-0.07553179321910015
