,Node,Degree Centrality,Network Centralisation,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Harmonic Centrality,Clustering Coefficient,Graph Density,Rich Club Coefficient,Transitivity,Local Efficiency,Lon,Lat,geometry,Region
2954,144,1.905027932960894,0.22779486535685148,0.988950276243094,0.0014100500637665408,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,39.7540588378906,-7.69152545928955,POINT (39.7540588378906 -7.69152545928955),IO
2955,145,1.8882681564245811,0.22779486535685148,0.988950276243094,0.0010634972593547014,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,39.5583915710449,-7.94768905639648,POINT (39.5583915710449 -7.94768905639648),IO
2956,146,1.8826815642458101,0.22779486535685148,0.988950276243094,0.0010932755539367978,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,39.4744186401367,-7.4896993637085,POINT (39.4744186401367 -7.4896993637085),IO
2957,147,1.8659217877094973,0.22779486535685148,0.988950276243094,0.0009089952715368696,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,39.5092887878418,-7.235915184021,POINT (39.5092887878418 -7.235915184021),IO
2958,148,1.905027932960894,0.22779486535685148,0.988950276243094,0.0014518519897017668,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,39.9375,-6.89461374282837,POINT (39.9375 -6.89461374282837),IO
2959,149,1.8324022346368716,0.22779486535685148,0.988950276243094,0.0007401900708995326,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,39.431999206543,-6.86603212356567,POINT (39.431999206543 -6.86603212356567),IO
2960,150,1.8379888268156426,0.22779486535685148,0.988950276243094,0.0008703539046836696,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,39.2371444702148,-6.63434982299805,POINT (39.2371444702148 -6.63434982299805),IO
2961,151,1.7374301675977655,0.22779486535685148,0.9835164835164835,0.0006338700375094473,0.08356679851641274,177.5,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,39.0300025939941,-6.45777082443237,POINT (39.0300025939941 -6.45777082443237),IO
2962,152,1.770949720670391,0.22779486535685148,0.988950276243094,0.0005486720251275125,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,38.9177742004395,-6.18345165252686,POINT (38.9177742004395 -6.18345165252686),IO
2963,153,1.8268156424581006,0.22779486535685148,0.988950276243094,0.0005960693785892771,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,39.133731842041,-6.16138982772827,POINT (39.133731842041 -6.16138982772827),IO
2964,154,1.8659217877094973,0.22779486535685148,0.988950276243094,0.0010014836282003603,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,39.3039398193359,-6.36267280578613,POINT (39.3039398193359 -6.36267280578613),IO
2965,155,1.8603351955307263,0.22779486535685148,0.988950276243094,0.0009209399825193696,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,39.542781829834,-6.37120246887207,POINT (39.542781829834 -6.37120246887207),IO
2966,156,1.787709497206704,0.22779486535685148,0.988950276243094,0.0003468979834585528,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,39.468334197998,-6.0890007019043,POINT (39.468334197998 -6.0890007019043),IO
2967,157,1.8659217877094973,0.22779486535685148,0.988950276243094,0.0009782376185909778,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,39.3019180297852,-5.82561635971069,POINT (39.3019180297852 -5.82561635971069),IO
2968,158,1.7039106145251397,0.22779486535685148,0.988950276243094,0.0002327163552824066,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,38.8845481872559,-5.79438543319702,POINT (38.8845481872559 -5.79438543319702),IO
2969,159,1.787709497206704,0.22779486535685148,0.988950276243094,0.00046797294948620373,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,39.0173950195312,-5.54667282104492,POINT (39.0173950195312 -5.54667282104492),IO
2970,160,1.7374301675977655,0.22779486535685148,0.988950276243094,0.0003372026568401346,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,39.1063995361328,-5.28294134140015,POINT (39.1063995361328 -5.28294134140015),IO
2971,161,1.8715083798882681,0.22779486535685148,0.988950276243094,0.0010403756990793585,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,39.2000007629395,-5.02995681762695,POINT (39.2000007629395 -5.02995681762695),IO
2972,162,1.8882681564245811,0.22779486535685148,0.988950276243094,0.0012164733670920417,0.08410531383875108,178.0,0.9874807395993837,0.8566418373680944,0.9840322593883926,0.9079578097200904,0.9918949121337004,39.2635688781738,-4.80961894989014,POINT (39.2635688781738 -4.80961894989014),IO
