,Region,Metric,Standardised Value
233,GBR,Degree Centrality,-0.3299015277420413
234,GBR,Degree Centrality,-0.32534840667357184
235,GBR,Degree Centrality,-0.3189740371777147
236,GBR,Degree Centrality,-0.317152788750327
237,GBR,Degree Centrality,-0.3280802793146535
238,GBR,Degree Centrality,-0.32534840667357184
239,GBR,Degree Centrality,-0.32625903088726577
240,GBR,Degree Centrality,-0.32625903088726577
241,GBR,Degree Centrality,-0.32352715824618417
242,GBR,Degree Centrality,-0.32079528560510245
243,GBR,Degree Centrality,-0.3153315403229392
244,GBR,Degree Centrality,-0.32534840667357184
245,GBR,Degree Centrality,-0.3271696551009596
246,GBR,Degree Centrality,-0.3189740371777147
247,GBR,Degree Centrality,-0.3271696551009596
248,GBR,Degree Centrality,-0.32534840667357184
249,GBR,Degree Centrality,-0.32352715824618417
250,GBR,Degree Centrality,-0.3308121519557351
251,GBR,Degree Centrality,-0.324437782459878
252,GBR,Degree Centrality,-0.31988466139140864
253,GBR,Degree Centrality,-0.3271696551009596
254,GBR,Degree Centrality,-0.317152788750327
255,GBR,Degree Centrality,-0.3280802793146535
256,GBR,Degree Centrality,-0.3189740371777147
257,GBR,Degree Centrality,-0.3153315403229392
258,GBR,Degree Centrality,-0.32534840667357184
259,GBR,Degree Centrality,-0.32261653403249024
260,GBR,Degree Centrality,-0.32261653403249024
261,GBR,Degree Centrality,-0.32625903088726577
262,GBR,Degree Centrality,-0.31806341296402085
263,GBR,Degree Centrality,-0.32534840667357184
264,GBR,Degree Centrality,-0.3189740371777147
265,GBR,Degree Centrality,-0.32625903088726577
266,GBR,Degree Centrality,-0.31806341296402085
267,GBR,Degree Centrality,-0.3217059098187964
268,GBR,Degree Centrality,-0.3189740371777147
269,GBR,Degree Centrality,-0.32352715824618417
270,GBR,Degree Centrality,-0.3189740371777147
271,GBR,Degree Centrality,-0.32352715824618417
272,GBR,Degree Centrality,-0.32899090352834737
273,GBR,Degree Centrality,-0.3162421645366331
274,GBR,Degree Centrality,-0.31351029189555146
275,GBR,Degree Centrality,-0.31351029189555146
276,GBR,Degree Centrality,-0.32625903088726577
277,GBR,Degree Centrality,-0.32625903088726577
278,GBR,Degree Centrality,-0.3189740371777147
279,GBR,Degree Centrality,-0.32079528560510245
280,GBR,Degree Centrality,-0.32261653403249024
281,GBR,Degree Centrality,-0.3217059098187964
282,GBR,Degree Centrality,-0.31351029189555146
283,GBR,Degree Centrality,-0.32261653403249024
284,GBR,Degree Centrality,-0.32352715824618417
285,GBR,Degree Centrality,-0.3308121519557351
286,GBR,Degree Centrality,-0.3153315403229392
287,GBR,Degree Centrality,-0.3153315403229392
288,GBR,Degree Centrality,-0.3189740371777147
289,GBR,Degree Centrality,-0.32534840667357184
290,GBR,Degree Centrality,-0.3217059098187964
291,GBR,Degree Centrality,-0.32625903088726577
292,GBR,Degree Centrality,-0.31442091610924533
293,GBR,Degree Centrality,-0.32352715824618417
294,GBR,Degree Centrality,-0.31806341296402085
295,GBR,Degree Centrality,-0.30986779504077594
296,GBR,Degree Centrality,-0.31077841925446986
297,GBR,Degree Centrality,-0.3080465466133882
298,GBR,Degree Centrality,-0.32261653403249024
299,GBR,Degree Centrality,-0.324437782459878
300,GBR,Degree Centrality,-0.3089571708270821
301,GBR,Degree Centrality,-0.3080465466133882
302,GBR,Degree Centrality,-0.3271696551009596
303,GBR,Degree Centrality,-0.31806341296402085
304,GBR,Degree Centrality,-0.31806341296402085
305,GBR,Degree Centrality,-0.324437782459878
306,GBR,Degree Centrality,-0.32261653403249024
307,GBR,Degree Centrality,-0.3271696551009596
308,GBR,Degree Centrality,-0.3125996676818576
309,GBR,Degree Centrality,-0.31806341296402085
310,GBR,Degree Centrality,-0.32352715824618417
311,GBR,Degree Centrality,-0.3280802793146535
312,GBR,Degree Centrality,-0.32352715824618417
313,GBR,Degree Centrality,-0.3089571708270821
314,GBR,Degree Centrality,-0.31806341296402085
315,GBR,Degree Centrality,-0.31988466139140864
316,GBR,Degree Centrality,-0.32352715824618417
317,GBR,Degree Centrality,-0.32079528560510245
318,GBR,Degree Centrality,-0.317152788750327
319,GBR,Degree Centrality,-0.32352715824618417
320,GBR,Degree Centrality,-0.3280802793146535
321,GBR,Degree Centrality,-0.30713592239969434
322,GBR,Degree Centrality,-0.32261653403249024
323,GBR,Degree Centrality,-0.3125996676818576
324,GBR,Degree Centrality,-0.3189740371777147
325,GBR,Degree Centrality,-0.32352715824618417
326,GBR,Degree Centrality,-0.3280802793146535
327,GBR,Degree Centrality,-0.31806341296402085
328,GBR,Degree Centrality,-0.3217059098187964
329,GBR,Degree Centrality,-0.317152788750327
330,GBR,Degree Centrality,-0.32352715824618417
331,GBR,Degree Centrality,-0.324437782459878
332,GBR,Degree Centrality,-0.32534840667357184
333,GBR,Degree Centrality,-0.3162421645366331
334,GBR,Degree Centrality,-0.32079528560510245
335,GBR,Degree Centrality,-0.3189740371777147
336,GBR,Degree Centrality,-0.3217059098187964
337,GBR,Degree Centrality,-0.3153315403229392
338,GBR,Degree Centrality,-0.3280802793146535
339,GBR,Degree Centrality,-0.32352715824618417
340,GBR,Degree Centrality,-0.32534840667357184
341,GBR,Degree Centrality,-0.32625903088726577
342,GBR,Degree Centrality,-0.3308121519557351
343,GBR,Degree Centrality,-0.31442091610924533
344,GBR,Degree Centrality,-0.32079528560510245
345,GBR,Degree Centrality,-0.31988466139140864
346,GBR,Degree Centrality,-0.32534840667357184
347,GBR,Degree Centrality,-0.31988466139140864
348,GBR,Degree Centrality,-0.32899090352834737
349,GBR,Degree Centrality,-0.32352715824618417
350,GBR,Degree Centrality,-0.317152788750327
351,GBR,Degree Centrality,-0.3153315403229392
352,GBR,Degree Centrality,-0.32534840667357184
353,GBR,Degree Centrality,-0.3217059098187964
354,GBR,Degree Centrality,-0.32079528560510245
355,GBR,Degree Centrality,-0.32261653403249024
356,GBR,Degree Centrality,-0.31988466139140864
357,GBR,Degree Centrality,-0.324437782459878
358,GBR,Degree Centrality,-0.324437782459878
359,GBR,Degree Centrality,-0.32352715824618417
360,GBR,Degree Centrality,-0.3153315403229392
361,GBR,Degree Centrality,-0.32261653403249024
362,GBR,Degree Centrality,-0.3280802793146535
363,GBR,Degree Centrality,-0.3271696551009596
364,GBR,Degree Centrality,-0.3034934255449188
365,GBR,Degree Centrality,-0.3189740371777147
366,GBR,Degree Centrality,-0.31988466139140864
367,GBR,Degree Centrality,-0.324437782459878
368,GBR,Degree Centrality,-0.3162421645366331
369,GBR,Degree Centrality,-0.324437782459878
370,GBR,Degree Centrality,-0.32352715824618417
371,GBR,Degree Centrality,-0.32352715824618417
372,GBR,Degree Centrality,-0.3299015277420413
373,GBR,Degree Centrality,-0.324437782459878
374,GBR,Degree Centrality,-0.32079528560510245
375,GBR,Degree Centrality,-0.3271696551009596
376,GBR,Degree Centrality,-0.3271696551009596
377,GBR,Degree Centrality,-0.32899090352834737
378,GBR,Degree Centrality,-0.32352715824618417
379,GBR,Degree Centrality,-0.32261653403249024
380,GBR,Degree Centrality,-0.3217059098187964
381,GBR,Degree Centrality,-0.3280802793146535
382,GBR,Degree Centrality,-0.324437782459878
383,GBR,Degree Centrality,-0.3189740371777147
384,GBR,Degree Centrality,-0.31988466139140864
385,GBR,Degree Centrality,-0.31988466139140864
386,GBR,Degree Centrality,-0.3153315403229392
387,GBR,Degree Centrality,-0.32261653403249024
388,GBR,Degree Centrality,-0.32534840667357184
389,GBR,Degree Centrality,-0.31988466139140864
390,GBR,Degree Centrality,-0.3280802793146535
391,GBR,Degree Centrality,-0.3062252981860004
392,GBR,Degree Centrality,-0.3299015277420413
393,GBR,Degree Centrality,-0.3162421645366331
394,GBR,Degree Centrality,-0.32899090352834737
395,GBR,Degree Centrality,-0.31988466139140864
396,GBR,Degree Centrality,-0.3280802793146535
397,GBR,Degree Centrality,-0.30986779504077594
398,GBR,Degree Centrality,-0.3280802793146535
399,GBR,Degree Centrality,-0.3153315403229392
400,GBR,Degree Centrality,-0.3280802793146535
401,GBR,Degree Centrality,-0.3217059098187964
402,GBR,Degree Centrality,-0.31806341296402085
403,GBR,Degree Centrality,-0.31077841925446986
404,GBR,Degree Centrality,-0.3308121519557351
405,GBR,Degree Centrality,-0.32534840667357184
406,GBR,Degree Centrality,-0.3162421645366331
407,GBR,Degree Centrality,-0.30713592239969434
408,GBR,Degree Centrality,-0.32079528560510245
409,GBR,Degree Centrality,-0.32352715824618417
410,GBR,Degree Centrality,-0.3217059098187964
411,GBR,Degree Centrality,-0.3271696551009596
412,GBR,Degree Centrality,-0.3189740371777147
413,GBR,Degree Centrality,-0.324437782459878
414,GBR,Degree Centrality,-0.3080465466133882
415,GBR,Degree Centrality,-0.3280802793146535
416,GBR,Degree Centrality,-0.32261653403249024
417,GBR,Degree Centrality,-0.32625903088726577
418,GBR,Degree Centrality,-0.3153315403229392
419,GBR,Degree Centrality,-0.32352715824618417
