Name,Lat,Lon
Southernmost Quirimbas,-12.5467653274536,40.6167221069336
St Lazarus Bank,-12.1955089569092,41.4016227722168
"Quirimba, Ibo, and Matemo Islands",-12.0993566513062,40.5714797973633
Quiterajo,-11.7296104431152,40.5871887207031
Mocimboa da Praia,-11.3900604248047,40.5517578125
"Metundo, Vamizi, and Rongui Islands",-11.053035736084,40.6420440673828
Palma,-10.6831502914429,40.5971870422363
Mongo Island,-10.2843542098999,40.3539161682129
Mikindani Bay,-10.1989526748657,40.1761283874512
Lindi,-10.0264263153076,39.8887825012207
Mchinga,-9.71188545227051,39.7582321166992
Kisongo,-9.37960529327393,39.6556510925293
Kilwa Kisiwani and Songa Mnara Islands,-9.05581474304199,39.5909957885742
Songo Songo Islands S,-8.82572746276856,39.5418853759766
Songo Songo Islands C,-8.55892086029053,39.4873313903809
Songo Songo Islands NW,-8.34731674194336,39.3827438354492
Songo Songo Islands NE,-8.33635139465332,39.554759979248
Mafia Island SE,-8.01682186126709,39.7322311401367
Mafia Island N,-7.69152545928955,39.7540588378906
Mafia Island SW,-7.94768905639648,39.5583915710449
Kwale Island,-7.4896993637085,39.4744186401367
Buuni,-7.235915184021,39.5092887878418
Latham Island,-6.89461374282837,39.9375
Dar es Salaam S,-6.86603212356567,39.431999206543
Dar es Salaam N,-6.63434982299805,39.2371444702148
Bagamoyo,-6.45777082443237,39.0300025939941
Reefs west of Zanzibar,-6.18345165252686,38.9177742004395
Zanzibar W,-6.16138982772827,39.133731842041
Zanzibar SW,-6.36267280578613,39.3039398193359
Zanzibar SE,-6.37120246887207,39.542781829834
Zanzibar E,-6.0890007019043,39.468334197998
Zanzibar N,-5.82561635971069,39.3019180297852
Mkwaja,-5.79438543319702,38.8845481872559
Maziwe Island and Pangani,-5.54667282104492,39.0173950195312
Kilale,-5.28294134140015,39.1063995361328
Tanga,-5.02995681762695,39.2000007629395
Dumbani,-4.80961894989014,39.2635688781738
Pemba S,-5.42941427230835,39.6333312988281
Pemba E,-5.24905920028687,39.845516204834
Pemba N,-4.86327362060547,39.7731513977051
Pemba W,-5.17221212387085,39.6449279785156
Kisite Marine National Park,-4.68640804290772,39.3688354492187
Ukunda,-4.43031644821167,39.5388259887695
Mombasa,-4.12676477432251,39.6770362854004
Kilifi,-3.63475346565247,39.8950004577637
Watamu,-3.35852289199829,40.0515785217285
Tana Delta,-2.85103106498718,40.2366676330566
North Tana Area,-2.55003237724304,40.6730041503906
Lamu Island,-2.24830102920532,40.982105255127
Pate Island,-2.108402967453,41.1943740844727
Kiunga Marine National Reserve,-1.80715346336365,41.4799919128418
Ras Kamboni,-1.39419829845429,41.7581825256348
Burgabo,-1.09465157985687,41.9824981689453
Bajuni Islands,-0.837605595588684,42.1856231689453
