name,Lon,Lat
U/N Reef (12-049),143.81027222,-12.20488834
U/N Reef (12-050),143.82194519,-12.2100687
U/N Reef (12-051),143.79431152,-12.20841408
William Reef (East) (12-052a),143.85296631,-12.22222042
William Reef (West) (12-052b),143.84992981,-12.22099686
Henry Reef (12-053),143.81919861,-12.22263622
Lloyds Reef (12-054),143.8742218,-12.24046326
U/N Reef (12-055a),143.89958191,-12.24290276
U/N Reef (12-055b),143.89024353,-12.24686527
Mantis Reef (12-056),143.89825439,-12.28798294
U/N Reef (12-057),143.64306641,-12.31495285
Ferguson Reef (12-058),143.82704163,-12.34038258
U/N Reef (12-059),143.79122925,-12.3640871
U/N Reef (12-060),143.61051941,-12.3814621
Lagoon Reef (12-061),143.75706482,-12.38443565
U/N Reef (12-062),143.74711609,-12.41181946
U/N Reef (12-063),143.76644897,-12.41186237
U/N Reef (12-064),143.63339233,-12.40263271
U/N Reef (12-065),143.56796265,-12.42260838
U/N Reef (12-066),143.63214111,-12.41675472
Northern Small Detached Reef (12-067),143.84637451,-12.41513443
U/N Reef (12-068),143.75128174,-12.43705273
U/N Reef (12-069),143.76272583,-12.4656105
U/N Reef (12-070),143.75871277,-12.483531
U/N Reef (12-071),143.77137756,-12.48882198
Middle Reef (12-072),143.39012146,-12.51870823
Pigeon Reef (12-073),143.29045105,-12.5129776
Restoration Island Reef (12-078),143.44673157,-12.62329578
Edward Shoal (12-081),143.4499054,-12.65841198
U/N Reef (12-082),143.42227173,-12.66237068
Lloyd Island Reef (12-084),143.39788818,-12.75452995
Hazelgrove Reefs (12-085),143.48176575,-12.75479412
May Reef (12-086),143.46621704,-12.77821445
Sunter Reef (12-088),143.4127655,-12.77997589
Exit Reef (12-089),143.48699951,-12.78309822
Waight Bank (12-091),143.44172668,-12.81111717
U/N Reef (12-092),143.77087402,-12.51905155
Bunker Reef (12-093),143.60488892,-12.52017689
Long Sandy Reef (12-094),143.79371643,-12.53452587
U/N Reef (12-095),143.77828979,-12.56860256
Sunk Reef (12-122),143.64582825,-12.84803772
U/N Reef (12-123),143.79393005,-12.86832905
U/N Reef (12-124),143.59828186,-12.87885857
Rocky Island Reef (12-125),143.55001831,-12.88636208
Frederick Patches (12-126),143.62652588,-12.87858677
