Name,Lat,Lon
Reef 230,18.92054885,-69.12490368
Reef 231,18.92054885,-72.80799635
Reef 232,18.96499288,-87.54865915
Reef 233,18.88655425,-68.87337541
Reef 234,18.61434992,-68.46015037
Reef 235,18.61434992,-73.02359202
Reef 236,18.68244211,-72.62833329
Reef 237,18.40991006,-67.09471114
Reef 238,18.58029359,-64.29196746
Reef 239,18.37581306,-77.55110105
Reef 240,18.37581306,-75.84430201
Reef 241,18.44400032,-73.5985138
Reef 242,18.37581306,-66.87911547
Reef 243,18.37581306,-66.60962089
Reef 244,18.34170931,-66.10656433
Reef 245,18.47808381,-87.32477134
Reef 246,18.30759883,-77.03007819
Reef 247,18.27348163,-74.99988564
Reef 248,18.30759883,-69.43033088
Reef 249,18.27348163,-67.48996987
Reef 250,18.36444589,-64.38778775
Reef 251,18.30759883,-87.77392898
Reef 252,18.34170931,-78.0361913
Reef 253,18.27348163,-68.99913955
Reef 254,18.27348163,-67.20250898
Reef 255,18.13694585,-72.19714196
Reef 256,18.13694585,-70.54424183
Reef 257,18.191573,-70.09867745
Reef 258,18.20522712,-64.95672077
Reef 259,18.17108983,-76.79651621
Reef 260,18.06863792,-73.22122138
Reef 261,18.10279522,-72.52053546
Reef 262,18.10279522,-72.05341151
Reef 263,18.06863792,-70.47237661
Reef 264,18.10279522,-78.28771958
Reef 265,18.03447398,-72.80799635
Reef 266,18.20522712,-70.86763534
Reef 267,18.22006734,-68.54138932
Reef 268,17.96612622,-87.97155835
Reef 269,18.03447398,-73.65241272
Reef 270,17.96612622,-67.9211612
Reef 271,18.06863792,-65.3879121
Reef 272,17.863555,-76.25752704
Reef 273,17.93194241,-67.20250898
Reef 274,17.79514128,-87.97155835
Reef 275,17.93194241,-77.91330177
Reef 276,17.76092457,-76.36532487
Reef 277,17.79514128,-66.19639586
Reef 278,18.00315121,-63.02234852
Reef 279,17.69247154,-77.51516844
Reef 280,17.65823523,-71.65815279
Reef 281,17.69247154,-77.0839771
Reef 282,17.55548726,-71.3886582
Reef 283,17.6239924,-64.68722618
Reef 284,17.45268097,-71.51442234
Reef 285,17.38411118,-62.96246084
Reef 286,17.50253371,-61.78321786
Reef 287,17.31551569,-83.94710587
Reef 288,17.43685945,-88.04065952
Reef 289,17.31551569,-75.93413354
Reef 290,17.34981664,-88.1512214
Reef 291,17.45268097,-87.75596268
Reef 292,17.07523037,-87.61510684
Reef 293,17.14391512,-63.46551739
Reef 294,17.24689459,-62.78279778
Reef 295,16.98688426,-61.77668466
Reef 296,16.97215585,-88.05369003
Reef 297,16.76583724,-78.09009022
Reef 298,16.89911045,-77.70381465
Reef 299,16.73142895,-87.8278279
Reef 300,16.62816686,-62.207876
Reef 301,16.21456547,-61.05803243
Reef 302,16.30910736,-86.16827359
Reef 303,16.07650401,-61.09396504
Reef 304,16.18005914,-61.30956071
Reef 305,16.07650401,-88.65427796
Reef 306,16.28355999,-88.22308663
Reef 307,15.80009401,-87.07324306
Reef 308,15.93834661,-86.92951262
Reef 309,15.84618875,-86.53425389
Reef 310,15.80009401,-86.06712994
Reef 311,15.73093224,-86.96544523
Reef 312,15.73093224,-86.31865822
Reef 313,15.86923217,-83.26438626
Reef 314,15.73093224,-82.33013836
Reef 315,15.76551607,-61.5970216
Reef 316,15.82972755,-61.26336164
Reef 317,15.62714551,-82.94099275
Reef 318,15.5579251,-82.22234053
Reef 319,15.5579251,-63.60924784
Reef 320,15.48868141,-82.49183511
Reef 321,15.41941452,-83.04879059
Reef 322,15.29566623,-82.36093774
Reef 323,15.24614641,-61.41735855
Reef 324,15.48868141,-61.30956071
Reef 325,15.14211684,-82.97692537
Reef 326,15.10742894,-61.34549332
Reef 327,14.96862075,-82.36607097
Reef 328,14.79498408,-82.90506014
Reef 329,14.98404834,-82.62159176
Reef 330,14.72549038,-82.65353186
Reef 331,14.4124959,-61.05803243
Reef 332,14.34288151,-60.87836938
Reef 333,14.4124959,-82.65353186
Reef 334,14.30806619,-80.17418168
Reef 335,14.32822308,-82.94666632
Reef 336,14.20358791,-81.14436219
Reef 337,13.8549804,-61.05803243
Reef 338,14.00082616,-82.67966467
Reef 339,13.71539002,-82.47386881
